id,name,schedule,accept_temporary,published_at,city,salary_mean,skills,experience,professional roles,employer,employer trusted,url
72759832,Менеджер по доходам (Revenue Manager),remote,False,2022-12-22T19:49:01+0300,Москва,80000.0,"['Английский язык', 'Ведение переговоров', 'Аналитический склад ума', 'Организаторские навыки', 'Деловая переписка', 'Грамотная речь', 'Деловое общение', 'Работа с большим объемом информации']",От 1 года до 3 лет,"Финансовый аналитик, инвестиционный аналитик",Farsight Management,True,https://hh.ru/vacancy/72759832
72759805,Контент-менеджер,fullDay,False,2022-12-22T19:49:00+0300,Москва,50000.0,"['Английский язык', 'Аналитический склад ума', 'Организаторские навыки', 'Навыки переговоров', 'Деловая переписка', 'Грамотная речь', 'Деловое общение', 'Работа с большим объемом информации', 'Внимательность', 'Умение работать в команде']",От 1 года до 3 лет,"Оператор ПК, оператор базы данных",Farsight Management,True,https://hh.ru/vacancy/72759805
72683790,Главный специалист-эксперт/аналитик,fullDay,False,2022-12-21T18:32:01+0300,Москва,45000.0,"['Анализ данных', 'Big Data', 'Системный анализ', 'Бизнес-анализ']",Нет опыта,Аналитик,"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",True,https://hh.ru/vacancy/72683790
74109702,Программист PHP,remote,True,2022-12-21T19:25:17+0300,Санкт-Петербург,80000.0,['Ответственность'],От 1 года до 3 лет,"Программист, разработчик",ReMarked,True,https://hh.ru/vacancy/74109702
74078746,Менеджер по работе с крупными корпоративными клиентами В2В (Key Account Manager),fullDay,False,2022-12-21T09:59:15+0300,Волгоград,60000.0,"['Корпоративные продажи', 'Активные продажи', 'Холодные продажи', 'Обучение персонала', 'Проведение презентаций']",От 1 года до 3 лет,Другое,МТС,True,https://hh.ru/vacancy/74078746
72728721,Sales Intern Far Eastern Federal District / Стажер отдела продаж – ДВФО,fullDay,False,2022-12-20T23:36:48+0300,Владивосток,85000.0,[],Нет опыта,Другое,Procter & Gamble,True,https://hh.ru/vacancy/72728721
72727697,Sales Intern Ural Federal District / Стажер отдела продаж – Уральский федеральный округ,fullDay,False,2022-12-20T23:37:10+0300,Екатеринбург,70000.0,[],Нет опыта,Другое,Procter & Gamble,True,https://hh.ru/vacancy/72727697
72727223,Sales Intern Siberian Federal District / Стажер отдела продаж – Сибирский федеральный округ,fullDay,False,2022-12-20T23:36:56+0300,Новосибирск,70000.0,[],Нет опыта,Другое,Procter & Gamble,True,https://hh.ru/vacancy/72727223
72757261,Ведущий специалист операционного отдела,fullDay,False,2022-12-21T17:36:34+0300,Саратов,60000.0,"['Навыки продаж', 'Клиентоориентированность', 'Консультативные продажи', 'Грамотная речь']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",МТС Банк,True,https://hh.ru/vacancy/72757261
73720023,Старший менеджер по продажам цифровых сервисов,fullDay,True,2022-12-20T12:05:02+0300,Москва,55000.0,"['Активные продажи', 'Навыки продаж', 'Поиск и привлечение клиентов', 'Прямые продажи']",Нет опыта,"Менеджер по продажам, менеджер по работе с клиентами",МТС,True,https://hh.ru/vacancy/73720023
74011998,Head of supply / Руководитель отдела по развитию партнерской сети,flexible,True,2022-12-19T16:56:25+0300,Москва,120000.0,"['Ведение переговоров', 'Поиск и привлечение клиентов', 'Проведение презентаций', 'Управление проектами', 'Заключение договоров']",От 3 до 6 лет,Другое,Юэмджи Групп,True,https://hh.ru/vacancy/74011998
70357098,Грузчик на склад,fullDay,False,2022-12-20T09:57:42+0300,Казань,27600.0,"['Проведение инвентаризаций', 'Многозадачность', 'Материальная ответственность', 'Проведение инвентаризация ОС', 'навыки проведения инвентаризации на складе', 'Физическая выносливость', 'Приемка груза', 'Работа с ТМЦ', 'Складское ПО']",От 1 года до 3 лет,Грузчик,ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/70357098
69476740,Менеджер по продажам корпоративным клиентам (малый и средний бизнес),fullDay,False,2022-12-19T11:32:17+0300,Уфа,70000.0,"['Корпоративные продажи', 'Активные продажи', 'Холодные продажи', 'Обучение персонала', 'Проведение презентаций']",От 1 года до 3 лет,Другое,МТС,True,https://hh.ru/vacancy/69476740
71564624,Начальник отдела снабжения,fullDay,False,2022-12-20T09:57:48+0300,Казань,85000.0,"['Организаторские навыки', 'Материально-техническое обеспечение', 'Охрана труда и техника безопасности', 'Управление персоналом', 'Закупки', 'Закупка товаров и услуг', 'Управление поставками', 'Участие в тендерной комиссии', 'Планирование закупок', 'Бюджетирование закупок', 'Учет остатков', 'Контроль поставок', 'Контроль и анализ ценообразования']",От 3 до 6 лет,Менеджер по закупкам,ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/71564624
74030464,Водитель (легковые автомобили всех видов),fullDay,False,2022-12-20T09:29:15+0300,Казань,25000.0,['Водительское удостоверение категории B'],От 3 до 6 лет,Водитель,ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/74030464
69405885,Специалист в офис продаж и обслуживания (Работа рядом с домом),shift,False,2022-12-19T09:09:10+0300,Казань,45000.0,"['Консультирование', 'Активные продажи', 'Клиентоориентированность', 'Грамотная речь', 'Заключение договоров', 'Оценка потребностей клиентов', 'Ориентация на клиента', 'Многозадачность']",Нет опыта,"Продавец-консультант, продавец-кассир",ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/69405885
69473109,"Продавец-консультант офиса продаж и обслуживания (ул. Ершова,57)",fullDay,False,2022-12-19T09:09:30+0300,Казань,45000.0,[],Нет опыта,"Продавец-консультант, продавец-кассир",ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/69473109
71256764,Продавец - консультант услуг связи (ул. Зорге д.80),shift,False,2022-12-19T09:09:26+0300,Казань,45000.0,"['Консультирование', 'Клиентоориентированность', 'Грамотная речь', 'Консультативные продажи']",Нет опыта,"Продавец-консультант, продавец-кассир",ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/71256764
73910088,Frontend-разработчик Vue,remote,False,2022-12-16T17:01:05+0300,Ярославль,125000.0,"['JavaScript', 'Vue.js', 'HTML', 'CSS', 'Babel', 'Webpack', 'Git', 'Docker', 'Кроссбраузерная верстка', 'Работа в команде']",От 1 года до 3 лет,"Программист, разработчик",ДЖАСТ ВОРК,True,https://hh.ru/vacancy/73910088
72692796,Менеджер по продажам корпоративных решений и сервисов,fullDay,False,2022-12-16T16:23:45+0300,Москва,100000.0,"['Активные продажи', 'Стрессоустойчивость']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/72692796
72299999,Ведущий специалист по продажам корпоративным клиентам (В2В),fullDay,False,2022-12-16T16:23:38+0300,Тверь,60000.0,['Активные продажи'],От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/72299999
73506539,Менеджер по продажам,fullDay,False,2022-12-16T16:23:19+0300,Москва,70000.0,"['Прямые продажи', 'Деловое общение', 'Активные продажи', 'MS CRM', 'B2C продажи', 'B2B Продажи', 'B2B', 'Ведение деловой переписки']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/73506539
72300023,Старший специалист по продажам корпоративным клиентам (В2В),fullDay,False,2022-12-16T16:23:26+0300,Петрозаводск,60000.0,"['Активные продажи', 'Стрессоустойчивость']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/72300023
72761136,Старший специалист по продажам корпоративным клиентам (В2В),fullDay,False,2022-12-16T16:24:01+0300,Иваново (Ивановская область),60000.0,"['Активные продажи', 'Стрессоустойчивость']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/72761136
72691925,Старший специалист по продажам корпоративным клиентам (В2В),fullDay,False,2022-12-16T16:23:32+0300,Великий Новгород,60000.0,"['Активные продажи', 'Стрессоустойчивость']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/72691925
72761124,Старший специалист по продажам корпоративным клиентам (В2В),fullDay,False,2022-12-16T16:23:56+0300,Мурманск,60000.0,"['Активные продажи', 'Стрессоустойчивость']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",билайн,True,https://hh.ru/vacancy/72761124
73862854,Кладовщик,fullDay,False,2022-12-15T14:46:34+0300,Казань,35000.0,"['Точность и внимательность к деталям', 'Многозадачность', 'Выносливость', 'Материальная ответственность', 'Обучаемый']",От 1 года до 3 лет,Кладовщик,ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/73862854
73773678,Менеджер по развитию действующих клиентов,fullDay,False,2022-12-14T10:32:45+0300,Владивосток,65000.0,"['Корпоративные продажи', 'Активные продажи', 'Холодные продажи', 'Проведение презентаций', 'B2B Продажи', 'Холодные звонки', 'Поиск и привлечение клиентов', 'переговоры с первыми лицами компаний']",Нет опыта,Другое,МТС,True,https://hh.ru/vacancy/73773678
72290435,Менеджер по развитию крупного бизнеса,fullDay,False,2022-12-13T08:23:14+0300,Казань,70000.0,"['Многозадачность', 'Деловая коммуникация', 'Ориентация на результат', 'Ориентация на клиента', 'Проведение опросов клиентов', 'Умение вести переговоры', 'Навыки презентации', 'Продажа услуг', 'B2B Продажи']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/72290435
70900588,Менеджер по продажам корпоративным клиентам (малый и средний бизнес),fullDay,False,2022-12-12T11:01:19+0300,Казань,59000.0,"['Развитие продаж', 'Проведение презентаций', 'Деловое общение', 'Ведение переговоров', 'Поиск и привлечение клиентов']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",МТС,True,https://hh.ru/vacancy/70900588
73688474,Помощник менеджера проекта,fullDay,False,2022-12-12T08:06:57+0300,Санкт-Петербург,45000.0,"['CRM', 'Грамотная речь', 'Работа в команде']",От 1 года до 3 лет,Координатор отдела продаж,ReMarked,True,https://hh.ru/vacancy/73688474
71130038,Менеджер по продажам корпоративным клиентам (малый и средний бизнес),fullDay,False,2022-12-12T10:30:49+0300,Челябинск,40000.0,"['Корпоративные продажи', 'Активные продажи', 'Холодные продажи', 'Обучение персонала', 'Проведение презентаций']",От 1 года до 3 лет,Другое,МТС,True,https://hh.ru/vacancy/71130038
73864866,Системный аналитик,fullDay,False,2022-12-15T15:29:09+0300,Москва,175000.0,"['Информационные технологии', 'Linux', 'Системная аналитика', 'ЛВС', 'Серверное оборудование', 'UML', 'Kubernetes', 'Docker', 'OVirt', 'ELK', 'GitLab', 'Ansible', 'Zabbix', 'Consul', 'PostgreSQL']",От 3 до 6 лет,Аналитик,"Точных Приборов, НИИ",True,https://hh.ru/vacancy/73864866
53919409,"Ассистент кафедры ""Системное программирование""",fullDay,False,2022-12-11T13:17:26+0300,Москва,30000.0,"['Информационные технологии', 'Обучение и развитие', 'Обучение', 'MATLAB', 'Проведение семинаров']",От 1 года до 3 лет,Руководитель проектов,МТУСИ,True,https://hh.ru/vacancy/53919409
53919209,"Старший преподаватель кафедры ""Системное программирование""",fullDay,False,2022-12-11T13:17:27+0300,Москва,40000.0,"['Обучение', 'Организация учебного процесса', 'Преподаватель', 'Публичные выступления', 'Обучение и развитие']",От 3 до 6 лет,Руководитель группы разработки,МТУСИ,True,https://hh.ru/vacancy/53919209
73533900,Финансовый аналитик,fullDay,False,2022-12-08T17:35:32+0300,Москва,100000.0,"['Бизнес-анализ', 'MS Access', 'Статистический анализ', 'Прогнозирование', 'Анализ данных', 'Excel', 'Экономический анализ', 'Анализ финансовых показателей']",От 3 до 6 лет,"Финансовый аналитик, инвестиционный аналитик",НЕЛТ,True,https://hh.ru/vacancy/73533900
68427434,Менеджер по продажам (ИТ-продукт),fullDay,False,2022-12-09T10:39:37+0300,Екатеринбург,100000.0,"['Холодные продажи', 'Активные продажи', 'Ведение переговоров', 'Холодные звонки', 'Лидогенерация', 'Телефонные переговоры']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",Сайтсофт,True,https://hh.ru/vacancy/68427434
